sponge_id,pair,volume,sponge_species,collection_site,flow_type,Alpheidae,Eunicidae,Actiniaria,Amphipoda,Syllidae,Clitellata,Phyllodocida,Ophiotrichidae,Ophionereididae,Ophiactis,Ophiuroidea,Fissurella,Columbellidae,Mollusca,Pilumnidae,Hippolytidae,Pelia_mutica,Petrolisthes,Periclimenaeus,Panulirus_argus,total_taxa,total_organisms,total_sym_ALL
TMI_19A_01LD,pair1,120,Lissodendoryx_isodictyalis,Calabash_Channel_North,high,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
TMI_19A_02TI,pair1,140,Tedania_ignis,Calabash_Channel_North,high,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3
TMI_19A_03LD,pair2,80,Lissodendoryx_isodictyalis,Calabash_Channel_North,high,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,22
TMI_19A_04TI,pair2,40,Tedania_ignis,Calabash_Channel_North,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
TMI_19A_05LD,pair3,70,Lissodendoryx_isodictyalis,Seahorse_Pond_South,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
TMI_19A_06TI,pair3,170,Tedania_ignis,Seahorse_Pond_South,low,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
TMI_19A_07LD,pair4,420,Lissodendoryx_isodictyalis,Seahorse_Pond_North,low,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
TMI_19A_08TI,pair4,340,Tedania_ignis,Seahorse_Pond_North,low,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
TMI_19A_09LD,pair5,100,Lissodendoryx_isodictyalis,Calabash_Channel_South,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMI_19A_10TI,pair5,100,Tedania_ignis,Calabash_Channel_South,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMI_19A_11LD,pair6,420,Lissodendoryx_isodictyalis,Calabash_Channel_South,high,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8
TMI_19A_12TI,pair6,560,Tedania_ignis,Calabash_Channel_South,high,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10
TMI_19A_13LD,pair7,350,Lissodendoryx_isodictyalis,Calabash_Pond_North,low,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18
TMI_19A_14TI,pair7,410,Tedania_ignis,Calabash_Pond_North,low,0,2,0,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,34
TMI_19A_15LD,pair8,255,Lissodendoryx_isodictyalis,Calabash_Pond_North,low,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14
TMI_19A_16TI,pair8,310,Tedania_ignis,Calabash_Pond_North,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
TMI_19A_17LD,pair9,140,Lissodendoryx_isodictyalis,Crooked_Creek,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
TMI_19A_18TI,pair9,410,Tedania_ignis,Crooked_Creek,high,2,2,1,0,0,0,1,8,4,1,4,1,1,1,2,1,1,1,0,0,15,31,37
TMI_19A_19LD,pair10,210,Lissodendoryx_isodictyalis,Crooked_Creek,high,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3
TMI_19A_20TI,pair10,210,Tedania_ignis,Crooked_Creek,high,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
TMI_19A_21LD,pair11,100,Lissodendoryx_isodictyalis,Calabash_Channel_North,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,9
