sponge_id,total_syms
TMI_19A_01LD,3
TMI_19A_02TI,3
TMI_19A_03LD,22
TMI_19A_04TI,9
TMI_19A_05LD,32
TMI_19A_06TI,1
TMI_19A_07LD,1
TMI_19A_08TI,4
TMI_19A_09LD,0
TMI_19A_10TI,0
TMI_19A_11LD,8
TMI_19A_12TI,10
TMI_19A_13LD,18
TMI_19A_14TI,34
TMI_19A_15LD,14
TMI_19A_16TI,16
TMI_19A_17LD,21
TMI_19A_18TI,37
TMI_19A_19LD,3
TMI_19A_20TI,11
TMI_19A_21LD,9
TMI_19A_22TI,9
TMI_19A_23LD,7
TMI_19A_24TI,2
TMI_19A_25LD,0
TMI_19A_26TI,1
TMI_19A_27LD,8
TMI_19A_28TI,2
TMI_19A_29LD,2
TMI_19A_30TI,0
TMI_19A_31LD,14
TMI_19A_32TI,1
TMI_19A_33LD,24
TMI_19A_34TI,8
TMI_19A_35LD,21
TMI_19A_36TI,0
